month,gid,luminosity,year
4,SSD.1.1.1_1,0.20206457376480103,2012
4,SSD.1.2.1_1,0.2282017022371292,2012
4,SSD.1.3.1_1,0.17038318514823914,2012
4,SSD.1.4.1_1,0.15026657283306122,2012
4,SSD.2.1.1_1,0.14075271785259247,2012
4,SSD.2.1.2_1,0.20678140223026276,2012
4,SSD.2.2.1_1,0.09770836681127548,2012
4,SSD.2.3.1_1,0.2535417973995209,2012
4,SSD.2.4.1_1,0.10690130293369293,2012
4,SSD.3.1.1_1,0.13828794658184052,2012
4,SSD.3.2.1_1,0.11672735214233398,2012
4,SSD.3.3.1_1,0.13704364001750946,2012
4,SSD.3.4.1_1,0.07199262082576752,2012
4,SSD.3.5.1_1,0.05746329203248024,2012
4,SSD.3.6.1_1,0.03986363857984543,2012
4,SSD.3.6.2_1,0.07828765362501144,2012
4,SSD.3.7.1_1,0.11657054722309113,2012
4,SSD.4.1.1_1,0.13639330863952637,2012
4,SSD.4.2.1_1,0.0952998697757721,2012
4,SSD.4.3.1_1,0.08263863623142242,2012
4,SSD.4.4.1_1,0.11666549742221832,2012
4,SSD.5.1.1_1,0.41443154215812683,2012
4,SSD.5.2.1_1,0.13553330302238464,2012
4,SSD.5.3.1_1,0.15841054916381836,2012
4,SSD.5.4.1_1,0.1988753229379654,2012
4,SSD.6.1.1_1,0.1079956516623497,2012
4,SSD.6.2.1_1,0.10320822894573212,2012
4,SSD.6.3.1_1,0.07502641528844833,2012
4,SSD.6.4.1_1,0.094728484749794,2012
4,SSD.7.1.1_1,0.05237689986824989,2012
4,SSD.7.2.1_1,0.09580204635858536,2012
4,SSD.7.3.1_1,0.1868939846754074,2012
4,SSD.7.4.1_1,0.08914078027009964,2012
4,SSD.7.5.1_1,0.11274861544370651,2012
4,SSD.7.6.1_1,0.06936641782522202,2012
4,SSD.7.7.1_1,0.10821473598480225,2012
4,SSD.7.8.1_1,0.07620642334222794,2012
4,SSD.8.1.1_1,0.2036305069923401,2012
4,SSD.8.2.1_1,0.21912656724452972,2012
4,SSD.8.3.1_1,0.10304827988147736,2012
4,SSD.8.4.1_1,0.13657405972480774,2012
4,SSD.9.1.1_1,0.14107409119606018,2012
4,SSD.9.2.1_1,0.1770307421684265,2012
4,SSD.10.1.1_1,0.10969020426273346,2012
4,SSD.10.1.2_1,0.10150609910488129,2012
4,SSD.10.2.1_1,0.11223839968442917,2012
4,SSD.10.3.1_1,0.05331180989742279,2012
4,SSD.10.3.2_1,0.10448943078517914,2012
4,SSD.10.4.1_1,0.09482907503843307,2012
5,SSD.1.1.1_1,-0.032066211104393005,2012
5,SSD.1.2.1_1,-0.024748297408223152,2012
5,SSD.1.3.1_1,-0.05291154608130455,2012
5,SSD.1.4.1_1,-0.059763479977846146,2012
5,SSD.2.1.1_1,-0.055733587592840195,2012
5,SSD.2.1.2_1,-0.055482495576143265,2012
5,SSD.2.2.1_1,-0.06473659723997116,2012
5,SSD.2.3.1_1,-0.03751213848590851,2012
5,SSD.2.4.1_1,-0.06954661756753922,2012
5,SSD.3.1.1_1,-0.055597491562366486,2012
5,SSD.3.2.1_1,-0.035351160913705826,2012
5,SSD.3.3.1_1,-0.04200173541903496,2012
5,SSD.3.4.1_1,-0.0719497874379158,2012
5,SSD.3.5.1_1,-0.054444022476673126,2012
5,SSD.3.6.1_1,-0.005929678212851286,2012
5,SSD.3.6.2_1,-0.06602474302053452,2012
5,SSD.3.7.1_1,-0.06784123182296753,2012
5,SSD.4.1.1_1,-0.04768522456288338,2012
5,SSD.4.2.1_1,-0.04987665265798569,2012
5,SSD.4.3.1_1,-0.011359260417521,2012
5,SSD.4.4.1_1,-0.06621143221855164,2012
5,SSD.5.1.1_1,0.027041863650083542,2012
5,SSD.5.2.1_1,-0.03252556920051575,2012
5,SSD.5.3.1_1,-0.0033900542184710503,2012
5,SSD.5.4.1_1,0.10914282500743866,2012
5,SSD.6.1.1_1,-0.05251398682594299,2012
5,SSD.6.2.1_1,-0.01765439100563526,2012
5,SSD.6.3.1_1,-0.06608978658914566,2012
5,SSD.6.4.1_1,-0.04832546412944794,2012
5,SSD.7.1.1_1,-0.0950867310166359,2012
5,SSD.7.2.1_1,-0.062244947999715805,2012
5,SSD.7.3.1_1,-0.09870638698339462,2012
5,SSD.7.4.1_1,-0.08505433052778244,2012
5,SSD.7.5.1_1,-0.07245121151208878,2012
5,SSD.7.6.1_1,-0.06000136956572533,2012
5,SSD.7.7.1_1,-0.04882456734776497,2012
5,SSD.7.8.1_1,-0.053103309124708176,2012
5,SSD.8.1.1_1,0.026502028107643127,2012
5,SSD.8.2.1_1,-0.029785357415676117,2012
5,SSD.8.3.1_1,-0.01982227899134159,2012
5,SSD.8.4.1_1,-0.0215353611856699,2012
5,SSD.9.1.1_1,-0.0293223075568676,2012
5,SSD.9.2.1_1,-0.03013220615684986,2012
5,SSD.10.1.1_1,-0.02535715512931347,2012
5,SSD.10.1.2_1,-0.052650582045316696,2012
5,SSD.10.2.1_1,-0.04286183416843414,2012
5,SSD.10.3.1_1,-0.026619208976626396,2012
5,SSD.10.3.2_1,-0.025627445429563522,2012
5,SSD.10.4.1_1,-0.05027490854263306,2012
6,SSD.1.1.1_1,-0.10071207582950592,2012
6,SSD.1.2.1_1,-0.12685009837150574,2012
6,SSD.1.3.1_1,-0.10740584135055542,2012
6,SSD.1.4.1_1,-0.11195608973503113,2012
6,SSD.2.1.1_1,-0.10325797647237778,2012
6,SSD.2.1.2_1,-0.11098304390907288,2012
6,SSD.2.2.1_1,-0.09782740473747253,2012
6,SSD.2.3.1_1,-0.12128851562738419,2012
6,SSD.2.4.1_1,-0.0848940759897232,2012
6,SSD.3.1.1_1,-0.08987494558095932,2012
6,SSD.3.2.1_1,-0.10684031248092651,2012
6,SSD.3.3.1_1,-0.1009417474269867,2012
6,SSD.3.4.1_1,-0.11614030599594116,2012
6,SSD.3.5.1_1,-0.04876052588224411,2012
6,SSD.3.6.1_1,-0.07960981875658035,2012
6,SSD.3.6.2_1,-0.06882178783416748,2012
6,SSD.3.7.1_1,-0.07995627075433731,2012
6,SSD.4.1.1_1,-0.1056114211678505,2012
6,SSD.4.2.1_1,-0.10616762936115265,2012
6,SSD.4.3.1_1,-0.10896188020706177,2012
6,SSD.4.4.1_1,-0.09365009516477585,2012
6,SSD.5.1.1_1,-0.11278345435857773,2012
6,SSD.5.2.1_1,-0.0722583457827568,2012
6,SSD.5.3.1_1,-0.16110266745090485,2012
6,SSD.5.4.1_1,-0.11405830085277557,2012
6,SSD.6.1.1_1,-0.10570882260799408,2012
6,SSD.6.2.1_1,-0.12844108045101166,2012
6,SSD.6.3.1_1,-0.1071033924818039,2012
6,SSD.6.4.1_1,-0.1385694295167923,2012
6,SSD.7.1.1_1,-0.006878281943500042,2012
6,SSD.7.2.1_1,0.023035217076539993,2012
6,SSD.7.3.1_1,-0.10195933282375336,2012
6,SSD.7.4.1_1,-0.05315427482128143,2012
6,SSD.7.5.1_1,-0.020261071622371674,2012
6,SSD.7.6.1_1,-0.05074429512023926,2012
6,SSD.7.7.1_1,-0.07716759294271469,2012
6,SSD.7.8.1_1,-0.09103824943304062,2012
6,SSD.8.1.1_1,-0.09614767134189606,2012
6,SSD.8.2.1_1,-0.10643887519836426,2012
6,SSD.8.3.1_1,-0.10742378234863281,2012
6,SSD.8.4.1_1,-0.11058984696865082,2012
6,SSD.9.1.1_1,-0.07978194206953049,2012
6,SSD.9.2.1_1,-0.09361233562231064,2012
6,SSD.10.1.1_1,-0.09592597186565399,2012
6,SSD.10.1.2_1,-0.11782780289649963,2012
6,SSD.10.2.1_1,-0.11127355694770813,2012
6,SSD.10.3.1_1,-0.08936960995197296,2012
6,SSD.10.3.2_1,-0.0902162417769432,2012
6,SSD.10.4.1_1,-0.06710272282361984,2012
7,SSD.1.1.1_1,0.043331123888492584,2012
7,SSD.1.2.1_1,0.030342811718583107,2012
7,SSD.1.3.1_1,0.04707541689276695,2012
7,SSD.1.4.1_1,0.032265741378068924,2012
7,SSD.2.1.1_1,0.04590049013495445,2012
7,SSD.2.1.2_1,0.029665671288967133,2012
7,SSD.2.2.1_1,0.015159630216658115,2012
7,SSD.2.3.1_1,0.020613577216863632,2012
7,SSD.2.4.1_1,0.020823094993829727,2012
7,SSD.3.1.1_1,0.045699890702962875,2012
7,SSD.3.2.1_1,0.04030044376850128,2012
7,SSD.3.3.1_1,0.04461898282170296,2012
7,SSD.3.4.1_1,0.024581482633948326,2012
7,SSD.3.5.1_1,0.06948649138212204,2012
7,SSD.3.6.1_1,0.049796901643276215,2012
7,SSD.3.6.2_1,0.027805963531136513,2012
7,SSD.3.7.1_1,0.061467546969652176,2012
7,SSD.4.1.1_1,0.033764954656362534,2012
7,SSD.4.2.1_1,0.05160008370876312,2012
7,SSD.4.3.1_1,0.03058195672929287,2012
7,SSD.4.4.1_1,0.023601802065968513,2012
7,SSD.5.1.1_1,0.00550689734518528,2012
7,SSD.5.2.1_1,0.009393631480634212,2012
7,SSD.5.3.1_1,-0.016443219035863876,2012
7,SSD.5.4.1_1,0.0018281969241797924,2012
7,SSD.6.1.1_1,0.011111970990896225,2012
